"mois","Maladies infectieuses","Covid-19","Tumeurs malignes","Diabète sucré","Démence","Appareil circulatoire","Appareil respiratoire","Cirrhose du foie alcoolique","Organes urinaires","Anomalies congénitales","Causes de mortalité périnatale","Accidents et traumatismes"
"Jan-20","36","0","641","60","416","1'025","194","17","66","16","4","148"
"Feb-20","34","0","629","40","371","960","230","12","59","7","5","133"
"Mar-20","33","205","647","38","405","1'004","231","7","75","9","8","147"
"Apr-20","31","645","588","41","379","894","136","10","61","6","7","156"
"May-20","36","64","606","35","274","832","97","8","67","5","7","132"
"Jun-20","31","10","647","32","309","753","117","4","39","8","6","128"
"Jul-20","26","8","653","36","330","804","119","8","70","14","0","130"
"Aug-20","36","17","632","23","344","814","117","9","68","7","5","121"
"Sep-20","37","32","594","33","316","824","120","8","43","8","13","143"
"Oct-20","23","258","673","51","378","931","120","15","57","6","9","121"
"Nov-20","44","1486","606","43","414","969","130","13","65","6","3","140"
"Dec-20","47","1667","628","46","444","1,105","164","9","63","12","2","151"

